team_id,minutes,zone,season_name,data.action_type,data.num_actions_for,data.goals_added_for,data.num_actions_against,data.goals_added_against
KAqBN0Vqbg,3365,2,2021,Passing,186,0.2229,167,0.4561
KAqBN0Vqbg,3365,2,2021,Receiving,186,-0.0015,124,0.0007
kRQabn8MKZ,3353,2,2021,Claiming,2,0.007,1,0.0012
kRQabn8MKZ,3353,2,2021,Dribbling,53,0.0528,74,0.0395
kRQabn8MKZ,3353,2,2021,Fouling,4,0.0052,2,0.0025
kRQabn8MKZ,3353,2,2021,Interrupting,173,1.9281,179,3.1883
kRQabn8MKZ,3353,2,2021,Passing,200,0.1774,182,0.1635
kRQabn8MKZ,3353,2,2021,Receiving,135,0.0021,153,0.0051
kRQand1MKZ,3369,2,2021,Claiming,0,0.0,1,0.0028
kRQand1MKZ,3369,2,2021,Dribbling,30,-0.0777,63,0.0337
kRQand1MKZ,3369,2,2021,Fouling,2,0.0031,4,0.0056
kRQand1MKZ,3369,2,2021,Interrupting,157,2.1826,156,2.2972
kRQand1MKZ,3369,2,2021,Passing,127,0.2159,155,0.2811
kRQand1MKZ,3369,2,2021,Receiving,75,0.0,129,0.0009
lgpMOvnQzy,3376,2,2021,Claiming,1,0.002,2,0.0003
lgpMOvnQzy,3376,2,2021,Dribbling,65,0.1017,61,-0.084
lgpMOvnQzy,3376,2,2021,Fouling,4,0.0066,3,0.0034
lgpMOvnQzy,3376,2,2021,Interrupting,137,1.1015,125,1.7781
lgpMOvnQzy,3376,2,2021,Passing,142,0.3436,175,-0.2048
lgpMOvnQzy,3376,2,2021,Receiving,118,0.0007,161,0.0091
mKAqBBmqbg,3398,2,2021,Dribbling,80,0.2019,69,-0.048
mKAqBBmqbg,3398,2,2021,Fouling,5,0.0083,5,0.0087
mKAqBBmqbg,3398,2,2021,Interrupting,165,1.2914,135,1.3954
mKAqBBmqbg,3398,2,2021,Passing,246,0.2663,196,0.2219
mKAqBBmqbg,3398,2,2021,Receiving,238,0.0035,161,0.0016
mvzqoLZQap,3372,2,2021,Claiming,1,0.002,2,0.0087
mvzqoLZQap,3372,2,2021,Dribbling,65,-0.0856,61,0.0177
mvzqoLZQap,3372,2,2021,Fouling,5,0.0077,3,0.0034
mvzqoLZQap,3372,2,2021,Interrupting,135,1.8158,130,0.4633
mvzqoLZQap,3372,2,2021,Passing,215,0.4512,163,0.2278
mvzqoLZQap,3372,2,2021,Receiving,195,-0.0003,134,-0.001
NWMWlBK5lz,3369,2,2021,Dribbling,80,-0.0112,56,0.1059
NWMWlBK5lz,3369,2,2021,Fouling,3,0.0029,3,0.0055
NWMWlBK5lz,3369,2,2021,Interrupting,136,1.8897,121,1.3568
NWMWlBK5lz,3369,2,2021,Passing,206,0.2464,162,0.3183
NWMWlBK5lz,3369,2,2021,Receiving,190,0.0022,122,0.0019
pzeQZ6xQKw,3370,2,2021,Claiming,1,0.0061,0,0.0
pzeQZ6xQKw,3370,2,2021,Dribbling,43,-0.0805,88,0.2169
pzeQZ6xQKw,3370,2,2021,Fouling,4,0.0021,4,0.0097
pzeQZ6xQKw,3370,2,2021,Interrupting,135,1.3582,168,2.878
pzeQZ6xQKw,3370,2,2021,Passing,183,0.3594,194,0.3551
pzeQZ6xQKw,3370,2,2021,Receiving,153,-0.001,164,0.0023
Vj58weDM8n,3371,2,2021,Claiming,1,0.0001,0,0.0
Vj58weDM8n,3371,2,2021,Dribbling,78,0.1014,71,-0.0034
Vj58weDM8n,3371,2,2021,Fouling,2,0.0018,3,0.0048
Vj58weDM8n,3371,2,2021,Interrupting,134,1.6473,187,1.9777
Vj58weDM8n,3371,2,2021,Passing,162,0.1495,202,0.3546
Vj58weDM8n,3371,2,2021,Receiving,155,-0.0002,167,0.004
vzqoOgNqap,3350,2,2021,Dribbling,51,-0.088,69,0.0463
vzqoOgNqap,3350,2,2021,Fouling,3,0.009,1,0.0029
vzqoOgNqap,3350,2,2021,Interrupting,128,1.7996,144,1.4239
vzqoOgNqap,3350,2,2021,Passing,142,0.2016,163,0.391
vzqoOgNqap,3350,2,2021,Receiving,120,-0.0013,135,-0.0005
WBLMvYAQxe,3398,2,2021,Claiming,0,0.0,2,0.007
WBLMvYAQxe,3398,2,2021,Dribbling,64,-0.0734,64,0.0191
WBLMvYAQxe,3398,2,2021,Fouling,5,0.0025,0,0.0
WBLMvYAQxe,3398,2,2021,Interrupting,168,2.5951,111,1.5825
WBLMvYAQxe,3398,2,2021,Passing,133,0.1583,200,0.3134
WBLMvYAQxe,3398,2,2021,Receiving,94,0.0013,165,0.0012
X0Oq66zq6D,3368,2,2021,Claiming,1,-0.0002,1,0.0001
X0Oq66zq6D,3368,2,2021,Dribbling,52,-0.0198,55,-0.0298
X0Oq66zq6D,3368,2,2021,Fouling,4,0.0092,4,0.0066
X0Oq66zq6D,3368,2,2021,Interrupting,151,1.7728,182,2.4109
X0Oq66zq6D,3368,2,2021,Passing,202,0.2965,178,0.307
X0Oq66zq6D,3368,2,2021,Receiving,150,0.003,138,-0.0018
YgOMngl5wN,3370,2,2021,Claiming,1,-0.0002,1,0.0008
YgOMngl5wN,3370,2,2021,Dribbling,65,-0.0276,51,0.0558
YgOMngl5wN,3370,2,2021,Fouling,3,0.0051,3,0.008
YgOMngl5wN,3370,2,2021,Interrupting,113,1.5726,150,1.5341
YgOMngl5wN,3370,2,2021,Passing,156,0.3624,170,0.3085
YgOMngl5wN,3370,2,2021,Receiving,145,0.001,121,0.0013
Z2vQ1xlqrA,3377,2,2021,Claiming,0,0.0,1,0.0043
Z2vQ1xlqrA,3377,2,2021,Dribbling,78,0.0292,61,-0.1028
Z2vQ1xlqrA,3377,2,2021,Fouling,2,0.0051,5,0.0118
Z2vQ1xlqrA,3377,2,2021,Interrupting,123,0.8298,174,2.0337
Z2vQ1xlqrA,3377,2,2021,Passing,185,-0.3224,199,0.3934
Z2vQ1xlqrA,3377,2,2021,Receiving,199,0.0043,157,-0.0006
zeQZkL1MKw,3350,2,2021,Claiming,2,0.0028,0,0.0
zeQZkL1MKw,3350,2,2021,Dribbling,79,-0.0132,65,-0.008
zeQZkL1MKw,3350,2,2021,Fouling,6,0.0075,3,0.011
zeQZkL1MKw,3350,2,2021,Interrupting,144,1.8245,115,1.3525
zeQZkL1MKw,3350,2,2021,Passing,162,0.3417,130,-0.0613
zeQZkL1MKw,3350,2,2021,Receiving,149,0.0024,122,-0.0005
0KPqjA456v,3395,3,2021,Claiming,36,0.1668,32,-0.2796
0KPqjA456v,3395,3,2021,Dribbling,106,-0.1221,106,-0.0521
0KPqjA456v,3395,3,2021,Fouling,15,0.0146,14,0.0041
0KPqjA456v,3395,3,2021,Interrupting,522,10.5624,566,6.3077
0KPqjA456v,3395,3,2021,Passing,988,2.1083,837,2.2985
0KPqjA456v,3395,3,2021,Receiving,440,-0.0024,363,-0.0022
19vQ2095K6,3362,3,2021,Claiming,45,0.2287,31,0.1516
19vQ2095K6,3362,3,2021,Dribbling,53,-0.9558,93,-0.4676
19vQ2095K6,3362,3,2021,Fouling,18,0.0285,13,0.0079
19vQ2095K6,3362,3,2021,Interrupting,591,7.4628,640,8.4581
19vQ2095K6,3362,3,2021,Passing,802,2.4521,867,1.8896
19vQ2095K6,3362,3,2021,Receiving,222,0.0007,315,-0.0027
9z5k7Yg5A3,3393,3,2021,Claiming,34,0.1779,38,0.1308
9z5k7Yg5A3,3393,3,2021,Dribbling,108,-0.2625,72,-0.5913
9z5k7Yg5A3,3393,3,2021,Fouling,11,0.0044,11,0.014
9z5k7Yg5A3,3393,3,2021,Interrupting,565,8.5973,710,7.8829
9z5k7Yg5A3,3393,3,2021,Passing,735,2.2664,809,1.4689
9z5k7Yg5A3,3393,3,2021,Receiving,254,0.0015,260,-0.0013
a2lqR4JMr0,3378,3,2021,Claiming,47,-1.0832,41,0.1443
a2lqR4JMr0,3378,3,2021,Dribbling,133,-0.4589,94,0.0285
a2lqR4JMr0,3378,3,2021,Fouling,21,0.0251,11,0.0083
a2lqR4JMr0,3378,3,2021,Interrupting,586,8.4986,579,6.0709
a2lqR4JMr0,3378,3,2021,Passing,878,2.3758,822,2.0943
a2lqR4JMr0,3378,3,2021,Receiving,347,0.0003,318,0.0007
a2lqRX2Mr0,3402,3,2021,Claiming,35,0.0683,38,0.0936
a2lqRX2Mr0,3402,3,2021,Dribbling,70,-0.503,100,-0.3287
a2lqRX2Mr0,3402,3,2021,Fouling,10,0.0113,17,0.0113
a2lqRX2Mr0,3402,3,2021,Interrupting,478,5.0114,680,9.0858
a2lqRX2Mr0,3402,3,2021,Passing,648,1.6097,987,2.7734
a2lqRX2Mr0,3402,3,2021,Receiving,265,-0.0021,338,-0.0017
APk5LGOMOW,3382,3,2021,Claiming,34,0.0327,36,0.143
APk5LGOMOW,3382,3,2021,Dribbling,124,-0.4749,101,-0.0581
APk5LGOMOW,3382,3,2021,Fouling,8,0.0034,18,0.0108
